"region","year","catch","species","species_fac","region_fac","era","log_catch","log_catch_stnd","catch_stnd","annual_sst","annual_sst_2","annual_sst_3","winter_sst","winter_sst_2","winter_sst_3"
"GOA",2021,12049338,"Sockeye","Sockeye","GOA","1989-2021",16.3045202786325,0.385833679865449,0.201611401795856,2.58201340705082,2.67754679379844,2.31463605884191,1.52577502677911,1.97811674771948,1.87287690741818
"NBC",1989,843800,"Chum","Chum","NBC","1989-2021",13.6456707786724,0.00939456203448519,-0.290905338801318,0.308431771333304,0.343613432131728,-0.108866793698922,-0.686449477173619,0.316821072349057,0.0913095490457623
"NBC",1990,1561700,"Chum","Chum","NBC","1989-2021",14.2612855294759,0.445739859708128,-0.112425543888825,0.378795092930152,0.0431690535383443,0.131589959469998,1.32009162187173,1.06759243765733,0.482911799380344
"NBC",1991,1048400,"Chum","Chum","NBC","1989-2021",13.8627757504314,0.163277706330427,-0.240038970171849,-0.292456985853463,0.0345086000197547,0.14927076432322,0.815093253442918,0.0462124864931343,0.470838864952667
"NBC",1992,743300,"Chum","Chum","NBC","1989-2021",13.5188550107134,-0.0804919521329356,-0.315891018406703,0.361474185892973,0.415374059448218,0.179430377680991,-0.72266828045665,-0.425992129424437,-0.012297001801985
"NBC",1993,1371700,"Chum","Chum","NBC","1989-2021",14.1315614044665,0.35379191357979,-0.15966215209801,0.469273933003463,0.235664609746944,0.277601135128953,-0.129315978392224,-0.333177436763528,-0.463007717994569
"NBC",1994,1477200,"Chum","Chum","NBC","1989-2021",14.2056589619605,0.406311968921911,-0.133433403855541,0.00205528649042443,0.58144376785736,0.544053822906061,-0.537038895134833,0.287770577528692,0.148741725555054
"NBC",1995,1817300,"Chum","Chum","NBC","1989-2021",14.4128624410694,0.55317697443507,-0.0488798751611002,1.1608322492243,1.10093345030182,0.734640729031352,1.11258005019222,0.708628638751239,0.293406127455882
"NBC",1996,920600,"Chum","Chum","NBC","1989-2021",13.7327809103653,0.0711378784418898,-0.271811804535711,1.04103465137934,1.14782623293994,1.15216157170139,0.30467722731026,0.705163864832273,0.840969259952254
"NBC",1997,629400,"Chum","Chum","NBC","1989-2021",13.3525222636124,-0.198387944637822,-0.344208121959472,1.25461781450054,1.26095199112701,1.18764621121112,1.10565050235429,0.535287591781602,0.458417470291155
"NBC",1998,1553300,"Chum","Chum","NBC","1989-2021",14.255892257976,0.441917130225113,-0.114513899199125,1.26728616775347,0.692979375155242,0.880192188270342,-0.0350753187910818,0.27607535186017,0.552600402024875
"NBC",1999,674000,"Chum","Chum","NBC","1989-2021",13.4209853898944,-0.149861551827719,-0.333119949716685,0.118672582557014,0.864271472552174,0.998609704285939,0.587226022511422,0.11488534898854,0.0648984597286664
"NBC",2000,317900,"Chum","Chum","NBC","1989-2021",12.6694921468989,-0.682516986718781,-0.421651298049794,1.60987036254733,1.59383487171732,1.10211410866388,-0.357455324534341,0.954452005522055,0.832043344518511
"NBC",2001,616500,"Chum","Chum","NBC","1989-2021",13.3318136015865,-0.213066162280143,-0.347415239043149,1.5777993808873,0.335066181132177,0.760000908270563,2.26635933557845,1.34113078166121,0.774935412929357
"NBC",2002,955000,"Chum","Chum","NBC","1989-2021",13.7694666194629,0.0971405637831065,-0.263259492312574,-0.907667018622948,-0.427246139968992,0.241102366983106,0.41590222774396,0.113915062233414,0.83139648668176
"NBC",2003,1426000,"Chum","Chum","NBC","1989-2021",14.1703838799564,0.381309130478747,-0.146162426699279,0.053174738684964,-0.294484912576833,-0.498878947925538,-0.188072103277132,0.0721447071863352,0.18673054737221
"NBC",2004,1570400,"Chum","Chum","NBC","1989-2021",14.2668409219444,0.449677499891661,-0.110262604460299,-0.64214456383863,-0.179821947599122,-0.102156385504427,0.332361517649802,-0.138754479497174,-0.155193687423826
"NBC",2005,753400,"Chum","Chum","NBC","1989-2021",13.5323515742401,-0.0709256413485704,-0.313380019759794,0.282500668640386,0.834831477440639,0.342506130347549,-0.60987047664415,0.622252902331337,0.525622440770825
"NBC",2006,571300,"Chum","Chum","NBC","1989-2021",13.2556697447126,-0.267036626519878,-0.358652579522386,1.38716228624089,1.37931635806341,1.01371112825574,1.85437628130682,1.10180008293016,0.531243229738721
"NBC",2007,297400,"Chum","Chum","NBC","1989-2021",12.6028333130082,-0.729764504226525,-0.426747879461837,1.37147042988594,1.46385997965189,1.43829408184823,0.34922388455349,0.439381118304106,0.911046172638346
"NBC",2008,31400,"Chum","Chum","NBC","1989-2021",10.3545631718963,-2.32332947760262,-0.492879130954696,1.55624952941785,0.912395326092796,1.06542036069051,0.529538352054723,0.57794259431881,0.501703024397037
"NBC",2009,133900,"Chum","Chum","NBC","1989-2021",11.8048485316793,-1.29537295739225,-0.467396223894478,0.268541122767739,-0.0975174620262595,0.453738201788445,0.626346836582898,0.108226752065483,0.248663952061896
"NBC",2010,39100,"Chum","Chum","NBC","1989-2021",10.5738777459735,-2.16788017593314,-0.490964805253587,-0.463576046820258,-1.08672168625269,-0.634967416579214,-0.409893332451932,-0.905625785026562,-0.394968244490076
"NBC",2011,353400,"Chum","Chum","NBC","1989-2021",12.7753558388677,-0.607481221047673,-0.412825510726499,-1.70986732568512,-1.30434835326592,-1.02409091778403,-1.40135823760119,-1.35881745467345,-1.04250941393294
"NBC",2012,381400,"Chum","Chum","NBC","1989-2021",12.8516039721485,-0.553436846103752,-0.405864326358829,-0.898829380846713,-0.343420694372984,-0.798902904810364,-1.3162766717457,-0.497367946050791,-0.798698043234258
"NBC",2013,601900,"Chum","Chum","NBC","1989-2021",13.3078465975359,-0.230053879847316,-0.351044999463433,0.211987992100746,-0.0198882071520382,-0.312868598383597,0.321540779644119,0.156855469259469,-0.334188577742254
"NBC",2014,261000,"Chum","Chum","NBC","1989-2021",12.4722756863048,-0.822303233055037,-0.435797419139808,-0.251764406404822,-0.435507350399768,-0.219675569566263,-0.00782984112517998,-0.493923219148266,-0.222101886217471
"NBC",2015,1210800,"Chum","Chum","NBC","1989-2021",14.0067918561297,0.26535575177801,-0.199664100839367,-0.619250294394714,0.0322384728427914,-0.0624291535730799,-0.980016597171351,-0.594252072385755,-0.398777995298896
"NBC",2016,572700,"Chum","Chum","NBC","1989-2021",13.2581172983819,-0.265301810170773,-0.358304520304003,0.683727240080296,1.29634234273702,0.657811463693109,-0.208487547600158,-0.18091781571973,-0.447284076203604
"NBC",2017,394100,"Chum","Chum","NBC","1989-2021",12.8843599631831,-0.530219529364754,-0.402706932020637,1.90895744539374,2.44803240881472,1.85993068590324,-0.153348083839302,1.40207137347476,0.865218399783122
"NBC",2018,502600,"Chum","Chum","NBC","1989-2021",13.1275499040916,-0.357847462226244,-0.375732342595918,2.98710737223569,2.78607371367104,2.49370162424527,2.95749083078883,2.60219116900714,1.68367808472499
"NBC",2019,168100,"Chum","Chum","NBC","1989-2021",12.0323143193967,-1.13414610777148,-0.458893634416825,2.58504005510638,1.76219611765983,2.17049986918512,2.24689150722545,1.70936342066488,2.12540589070619
"NBC",2020,14900,"Chum","Chum","NBC","1989-2021",9.60911649193355,-2.8516991325591,-0.496981257457073,0.939352180213277,1.33992465294239,1.75496312033039,1.17183533410431,0.869971889724883,1.3289450955584
"NBC",2021,14354,"Chum","Chum","NBC","1989-2021",9.57178392799002,-2.87816030605372,-0.497117000552242,1.7404971256715,1.84416878079606,1.54256324726847,0.568108445345455,1.02560213752082,1.07434653638198
"NBC",1989,800300,"Coho","Coho","NBC","1989-2021",13.5927419363551,0.338785174585271,-0.218956780376123,-0.292456985853463,0.0345086000197547,0.14927076432322,0.815093253442918,0.0462124864931343,0.470838864952667
"NBC",1990,1409900,"Coho","Coho","NBC","1989-2021",14.1590293378535,0.660685455887354,-0.0410784182334932,0.361474185892973,0.415374059448218,0.179430377680991,-0.72266828045665,-0.425992129424437,-0.012297001801985
"NBC",1991,1295800,"Coho","Coho","NBC","1989-2021",14.074638822998,0.612714530877678,-0.0743722520925387,0.469273933003463,0.235664609746944,0.277601135128953,-0.129315978392224,-0.333177436763528,-0.463007717994569
"NBC",1992,789000,"Coho","Coho","NBC","1989-2021",13.578521599828,0.33070176973434,-0.222254066288544,0.00205528649042443,0.58144376785736,0.544053822906061,-0.537038895134833,0.287770577528692,0.148741725555054
"NBC",1993,526300,"Coho","Coho","NBC","1989-2021",13.1736266713419,0.100543388967566,-0.298908668871991,1.1608322492243,1.10093345030182,0.734640729031352,1.11258005019222,0.708628638751239,0.293406127455882
"NBC",1994,1035200,"Coho","Coho","NBC","1989-2021",13.8501052027288,0.485080691002022,-0.150414084727659,1.04103465137934,1.14782623293994,1.15216157170139,0.30467722731026,0.705163864832273,0.840969259952254
"NBC",1995,452900,"Coho","Coho","NBC","1989-2021",13.0234266295443,0.0151637114781943,-0.320326437542052,1.25461781450054,1.26095199112701,1.18764621121112,1.10565050235429,0.535287591781602,0.458417470291155
"NBC",1996,501400,"Coho","Coho","NBC","1989-2021",13.1251594647063,0.0729927010860653,-0.306174369687856,1.26728616775347,0.692979375155242,0.880192188270342,-0.0350753187910818,0.27607535186017,0.552600402024875
"NBC",1997,214300,"Coho","Coho","NBC","1989-2021",12.2751321814617,-0.410196613857077,-0.389948775480424,0.118672582557014,0.864271472552174,0.998609704285939,0.587226022511422,0.11488534898854,0.0648984597286664
"NBC",1998,1000,"Coho","Coho","NBC","1989-2021",6.90775527898214,-3.46122711566775,-0.452188694517535,1.60987036254733,1.59383487171732,1.10211410866388,-0.357455324534341,0.954452005522055,0.832043344518511
"NBC",1999,4200,"Coho","Coho","NBC","1989-2021",8.34283980427146,-2.64546799554494,-0.451254949834371,1.5777993808873,0.335066181132177,0.760000908270563,2.26635933557845,1.34113078166121,0.774935412929357
"NBC",2000,9200,"Coho","Coho","NBC","1989-2021",9.12695876303713,-2.19974359353082,-0.449795973766929,-0.907667018622948,-0.427246139968992,0.241102366983106,0.41590222774396,0.113915062233414,0.83139648668176
"NBC",2001,11500,"Coho","Coho","NBC","1989-2021",9.35010231435134,-2.07289992413479,-0.449124844775905,0.053174738684964,-0.294484912576833,-0.498878947925538,-0.188072103277132,0.0721447071863352,0.18673054737221
"NBC",2002,125800,"Coho","Coho","NBC","1989-2021",11.7424486232485,-0.712995134149306,-0.415772651874162,-0.64214456383863,-0.179821947599122,-0.102156385504427,0.332361517649802,-0.138754479497174,-0.155193687423826
"NBC",2003,239100,"Coho","Coho","NBC","1989-2021",12.3846371534464,-0.347949632567008,-0.382712254185907,0.282500668640386,0.834831477440639,0.342506130347549,-0.60987047664415,0.622252902331337,0.525622440770825
"NBC",2004,349600,"Coho","Coho","NBC","1989-2021",12.7645449227635,-0.131994946857147,-0.35046888309542,1.38716228624089,1.37931635806341,1.01371112825574,1.85437628130682,1.10180008293016,0.531243229738721
"NBC",2005,410600,"Coho","Coho","NBC","1989-2021",12.925374783567,-0.0405728574773954,-0.332669375072618,1.37147042988594,1.46385997965189,1.43829408184823,0.34922388455349,0.439381118304106,0.911046172638346
"NBC",2006,144400,"Coho","Coho","NBC","1989-2021",11.8803425054409,-0.634610767218095,-0.410345260903274,1.55624952941785,0.912395326092796,1.06542036069051,0.529538352054723,0.57794259431881,0.501703024397037
"NBC",2007,269400,"Coho","Coho","NBC","1989-2021",12.5039525429584,-0.280126019776128,-0.373870859217204,0.268541122767739,-0.0975174620262595,0.453738201788445,0.626346836582898,0.108226752065483,0.248663952061896
"NBC",2008,76700,"Coho","Coho","NBC","1989-2021",11.2476569873553,-0.994254378763439,-0.43009979685645,-0.463576046820258,-1.08672168625269,-0.634967416579214,-0.409893332451932,-0.905625785026562,-0.394968244490076
"NBC",2009,238400,"Coho","Coho","NBC","1989-2021",12.3817052141733,-0.349616263458441,-0.382916510835349,-1.70986732568512,-1.30434835326592,-1.02409091778403,-1.40135823760119,-1.35881745467345,-1.04250941393294
"NBC",2010,139200,"Coho","Coho","NBC","1989-2021",11.8436670268825,-0.655458567881862,-0.411862596013415,-0.898829380846713,-0.343420694372984,-0.798902904810364,-1.3162766717457,-0.497367946050791,-0.798698043234258
"NBC",2011,323900,"Coho","Coho","NBC","1989-2021",12.6881901051594,-0.175398061954705,-0.357968020082077,0.211987992100746,-0.0198882071520382,-0.312868598383597,0.321540779644119,0.156855469259469,-0.334188577742254
