"year","sockeye","coho","pink","chum","area"
1989,1159287,68233,27712,1624,"chignik"
1990,2093650,130131,550008,270004,"chignik"
1991,1899294,165641,1169298,261422,"chignik"
1992,1277449,310943,1554073,222134,"chignik"
1993,1697351,229459,1648377,122360,"chignik"
1994,1617990,231291,431004,227077,"chignik"
1995,1724045,281518,2057998,380954,"chignik"
1996,1958393,193246,189068,120891,"chignik"
1997,770347,90908,844431,155905,"chignik"
1998,1054439,129539,776988,128996,"chignik"
1999,3116527,89610,1698651,140597,"chignik"
2000,1775225,123222,428064,120957,"chignik"
2001,1511587,131448,1281767,199003,"chignik"
2002,1050553,49372,66050,54559,"chignik"
2003,1100297,103896,502638,64044,"chignik"
2004,704652,37,2380,505,"chignik"
2005,1152133,6956,194045,8821,"chignik"
2006,902709,39221,383547,61630,"chignik"
2007,834547,73277,2019748,78553,"chignik"
2008,687270,161536,2389958,209325,"chignik"
2009,1198105,110373,1408339,256425,"chignik"
2010,1379785,159198,489781,581329,"chignik"
2011,2497004,76792,905166,269503,"chignik"
2012,1800121,33316,137706,171112,"chignik"
2013,2405151,32312,871597,154965,"chignik"
2014,620339,132459,352115,55152,"chignik"
2015,1552495,82054,1978211,101017,"chignik"
2016,1385673,94317,139622,118418,"chignik"
2017,897489,226829,7077924,609236,"chignik"
2018,128,1,6,924,"chignik"
2019,614000,219000,2236000,0,"chignik"
2020,0,0,0,0,"chignik"
2021,118785,84452,1312454,43187,"chignik"
2022,84000,NA,NA,NA,"chignik"
