"year","annual.sst","annual.sst.2","annual.sst.3","winter.sst","winter.sst.2","winter.sst.3"
1900,0.835411284846068,-0.491884339483277,NA,NA,NA,NA
1901,-1.81917996381262,-0.890408819718465,-0.315135451530287,-0.153256708118129,-0.67678878779803,NA
1902,0.0383623243756933,-0.682873818635247,-1.06164253369437,-1.20032086747793,0.101610404837284,0.0166547005188133
1903,-1.40410996164619,-1.71866909898212,-1.13299195786285,1.4035416771525,-0.498244290331083,-0.732269816046699
1904,-2.03322823631806,-1.12563421636739,-1.21845946479365,-2.40003025781467,-1.38021922900448,-0.452298926952151
1905,-0.218040196416717,-0.131096957764078,-0.765140717282071,-0.360408200194287,-0.076747635372801,-0.851175176186756
1906,-0.0441537191114391,-1.31926817124526,-0.952192179635747,0.206912929448685,-0.560839049455766,-0.494028766368606
1907,-2.59438262337909,-2.33599930179168,-1.5720507742316,-1.32859102836022,-1.28634941465028,-0.788595299950627
1908,-2.07761598020428,-2.23032838935577,-2.35167980069687,-1.24410780094035,-1.83493662803245,-1.66615476147504
1909,-2.38304079850726,-2.22499520818889,-2.17586879886069,-2.42576545512455,-2.40804918407139,-2.02006872302771
1910,-2.06694961787053,-1.50365439006909,-1.79678319288181,-2.39033291301823,-2.64641511321368,-2.57286522718397
1911,-0.940359162267649,-0.347517476847329,-0.920661523855062,-2.90249731340912,-1.62079285981244,-1.87730621088103
1912,0.24532420857299,0.1207704337607,-0.232939431582083,-0.339088406215748,0.708269195521704,-0.495319640788571
1913,-0.00378334105158994,-0.279914785893217,-0.104835121071148,1.75562679725916,0.580257002901749,0.273808533195917
1914,-0.556046230734844,0.252961724448197,0.167380035948268,-0.595112791455659,0.13008323148868,0.671931086745506
1915,1.06196967963124,-0.335269996069185,-0.408862074291071,0.855279254433018,-0.144615748059277,-0.294781429191404
1916,-1.73250967176961,-1.4630713934569,-0.621391035760852,-1.14451075055157,-1.13497868429166,-0.471559371383431
1917,-1.19363311514419,-1.45347924146283,-1.54648938489842,-1.12544661803174,-1.51847743581918,-1.39382187406331
1918,-1.71332536778148,-1.50861549304132,-1.40362136707561,-1.91150825360662,-1.86086906319107,-1.61572824813796
1919,-1.30390561830117,-1.11973368124633,-1.31759757675805,-1.81022987277551,-1.14840796422725,-1.40277472735371
1920,-0.935561744191489,-0.683815470380849,-0.890512186354291,-0.486586055678989,-0.278975850815379,-0.789393858135423
1921,-0.432069196570209,-0.521267510011046,-0.659365588071194,-0.0713656459517682,-0.531646929016561,-0.516626637904037
1922,-0.610465823451883,-0.342187362150695,-0.372147973623866,-0.991928212081353,-0.58534061081256,-0.414015622525629
1923,-0.0739089008495063,-0.448339276383358,-0.502381458739533,-0.178753009543766,-0.257792122381994,-0.50250415228178
1924,-0.82276965191721,-0.875180286492885,-0.608089824611759,-0.336831235220222,-0.72594515999007,-0.543547776507969
1925,-0.927590921068561,0.313740406354342,-0.0650962797361754,-1.11505908475992,0.0731728907827994,-0.0634951512182076
1926,1.55507173377724,0.760779720298761,0.197989506509653,1.26140486632552,1.39930230247437,0.561181840062942
1927,-0.0335122931797237,-0.320148993900493,0.304924581992086,1.53719973862323,0.505816237372387,0.757679113690097
1928,-0.606785694621263,0.118565096440864,0.0678726332340018,-0.525567263878453,0.0156557650347106,0.522837089564216
1929,0.843915887502992,0.429607393632155,0.0841430308810158,0.556878793947874,0.606852261863539,0.229379086616209
1930,0.0152988997613184,0.0616083517223234,0.32237753031588,0.656825729779204,0.4877567833827,0.510797453571091
1931,0.107917803683328,-0.0988584454871571,-0.0608059970709985,0.318687836986196,0.0692207303731327,0.26508906350849
1932,-0.305634694657642,-0.370365724745467,-0.210937881935868,-0.18024637623993,0.153875965755273,0.208813256165581
1933,-0.43509675483329,-0.0242931134162015,-0.118073640496682,0.487998307750476,0.318018226362359,0.151930025494929
1934,0.386510528000888,0.396451642212345,0.119268843197133,0.148038144974241,0.283266766750225,0.351510613750309
1935,0.406392756423803,1.30410387132786,0.998239423552205,0.418495388526209,0.83429536998344,0.605542961647041
1936,2.20181498623192,1.61231527286489,1.21034110071786,1.25009535144067,1.12441799274297,0.889110458004052
1937,1.02281555949785,0.427428248101164,1.01889049414475,0.998740634045276,0.583537520501568,0.805723464147936
1938,-0.167959063295522,-0.268851495085514,0.161704189775607,0.16833440695786,-0.0352144510520818,0.309437243980371
1939,-0.369743926875506,0.408264464788806,0.216189955427364,-0.238763309062024,-0.0150411000058927,0.0460840689820252
1940,1.18627285645312,1.66073554837919,0.983909056627622,0.208681109050239,0.946613963720827,0.551488206126544
1941,2.13519824030525,1.91761282228621,1.67383283367518,1.68454681839142,1.84075718018075,1.29673182313725
1942,1.70002740426717,0.63564736664267,1.13549765786353,1.99696754197009,0.906122808300294,1.16559747833067
1943,-0.42873267098183,0.0349048906840411,0.589945728545084,-0.1847219253695,0.12281135783753,0.747530085881716
1944,0.498542452349912,0.616388773830182,0.268014958892845,0.43034464104456,0.68914581520536,0.397856568347073
1945,0.734235095310452,0.44681120258375,0.464054952505804,0.94794698936616,0.304881119005606,0.346702293018591
1946,0.159387309857048,-0.460984787915195,-0.0625781601733126,-0.338184751354949,-0.394125565117103,0.0532319530439849
1947,-1.08135688568744,-0.940633858900151,-0.573960135981084,-0.450066378879257,-1.01078075599425,-0.786582087781151
1948,-0.799910832112863,-0.774500082285407,-0.876785683419417,-1.57149513310925,-1.63959726057336,-1.24308696667532
1949,-0.749089332457951,-0.751750991945806,-0.767804272001492,-1.70769938803746,-0.950056734057433,-1.1572028670747
