"region","return_yr","n_stocks","R","R_ocean_1","R_ocean_2","R_ocean_3","R_ocean_4","R_ocean_5"
"BC",1978,1,374283,0.00350804070716543,0.735088155219446,0.261403804073388,0,0
"BC",1979,1,445873,0.00867287321726142,0.913262296662951,0.0780648301197875,0,0
"BC",1980,1,381912,0.000926915100860931,0.904278996208551,0.0947940886905884,0,0
"BC",1981,1,538462.5,0.00391949300090536,0.965833275297723,0.030247231701372,0,0
"BC",1982,1,680437,0.00205897092603724,0.688982227597853,0.30895880147611,0,0
"BC",1983,1,488136,0.00728895225920645,0.833337430552141,0.159373617188652,0,0
"BC",1984,1,387062.5,0.00509349265299532,0.589147747456806,0.405758759890199,0,0
"BC",1985,1,628120.75,0.00359286013079491,0.730332503742314,0.266074636126891,0,0
"BC",1986,1,340813.125,0.00620317952837057,0.469594590877332,0.523110722335004,0.00109150725929349,0
"BC",1987,1,388861.4375,0.00562009314693232,0.729563213631848,0.26481669322122,0,0
"BC",1988,1,322028,0.00556162818140038,0.844274410920789,0.149052256325537,0.00111170457227322,0
"BC",1989,1,192603.21875,0.0113976223463296,0.415060560871338,0.573541816782333,0,0
"BC",1990,1,323965.609375,0.00583274681113673,0.775406378734548,0.217983014111403,0.000777860342911591,0
"BC",1991,1,807720,0.00109443866686476,0.843375179517655,0.155530381815481,0,0
"BC",1992,1,1822141.804688,0.000761084941046868,0.842168263771741,0.157070651287212,0,0
"BC",1993,3,1966433.402344,0.000577391709603078,0.704572043145973,0.294418819020203,0.000431746124220626,0
"BC",1994,3,614031,0.00450302997731385,0.427357902125463,0.567277547876247,0.00086152002097614,0
"BC",1995,3,1146597.701172,0.00306620287866129,0.736126541277084,0.260727018460292,8.02373839629731e-05,0
"BC",1996,3,1003043.850586,0.00255906118610905,0.643095513344851,0.353589725706206,0.000755699762834058,0
"BC",1997,3,899190,0.00147354841579644,0.568546135966815,0.426996519089403,0.0029837965279863,0
"BC",1998,3,539406,0.00612340240931692,0.688160680452201,0.305636199819802,7.97173186801778e-05,0
"BC",1999,3,800746,0.00266501487363034,0.811510766210509,0.18578300734565,4.12115702107785e-05,0
"BC",2000,3,479664,0.00501601120784549,0.595385519863905,0.399554688281797,4.37806464525168e-05,0
"BC",2001,3,490222,0.0034494575926825,0.487613774983579,0.508859251522779,7.75159009591573e-05,0
"BC",2002,3,1280541,0.00261530087673882,0.840306557931374,0.156895405926089,0.000182735265797815,0
"BC",2003,3,962006,0.0112753974507435,0.377970615567886,0.610724881133798,2.91058475726763e-05,0
"BC",2004,3,808274,0.00837834694670372,0.783608033909293,0.206307514530964,0.00170610461303964,0
"BC",2005,3,558069,0.00716219678928591,0.695197188878078,0.297640614332636,0,0
"BC",2006,3,544525,0.00692713833157339,0.565935448326523,0.427137413341903,0,0
"BC",2007,3,524020,0.0100148849280562,0.441923972367467,0.547173771993435,0.000887370711041563,0
"BC",2008,3,365994.5,0.00380743426472256,0.869944766929558,0.12624779880572,0,0
"BC",2009,3,490139.75,0.00885206719104092,0.686677626126018,0.304470306682941,0,0
"BC",2010,3,396050,0.0225653326600177,0.716003029920465,0.261431637419518,0,0
"BC",2011,3,747765,0.0141020240316142,0.387625791525412,0.597973962407976,0.000298222034997626,0
"BC",2012,3,500175,0.0172099765082221,0.741152596591193,0.241169590643275,0.000467836257309942,0
"BC",2013,3,608229,0.00788683209777896,0.626001062099966,0.365623802876877,0.000488302925378435,0
"BC",2014,1,2959,0.0503548496113552,0.84555593105779,0.100371747211896,0.00371747211895911,0
