"region","year","annual.unsmoothed","annual.two.yr.running.mean","annual.three.yr.running.mean","winter.unsmoothed","winter.two.yr.running.mean","winter.three.yr.running.mean"
"Gulf_of_Alaska",2017,8.4961408106716,9.02565879956948,9.01616972814998,6.67110180783501,6.74086594245722,6.55018649951695
"Gulf_of_Alaska",2018,8.99719158531097,8.74666619799128,9.0116782910246,6.16882761363641,6.41996471073571,6.64841807777936
"Gulf_of_Alaska",2019,9.54170247709123,9.2694470312011,9.05547921944907,7.10532481186665,6.63707621275153,6.607358698054
"Gulf_of_Alaska",2020,8.62754359594501,9.08462303651812,8.71067565486745,6.54792366865893,6.82662424026279,6.546752424352
"Gulf_of_Alaska",2021,7.96278089156611,8.29516224375556,NA,5.98700879253043,6.26746623059468,NA
"British_Columbia_Coast",1950,9.15350750642702,NA,NA,NA,NA,NA
"British_Columbia_Coast",1951,9.76016378512497,9.456835645776,9.57952250481389,7.59996510100693,NA,NA
"British_Columbia_Coast",1952,9.82489622288967,9.79253000400732,9.89016085015676,7.51334805158621,7.55665657629657,7.73777745787316
"British_Columbia_Coast",1953,10.0854225424556,9.95515938267265,9.99827221117918,8.10001922102635,7.80668363630628,7.91816640188657
"British_Columbia_Coast",1954,10.0844978681922,10.0849602053239,9.9206958727725,8.14113193304716,8.12057557703675,8.23488999109446
"British_Columbia_Coast",1955,9.59216720766965,9.83833253793095,9.9479004215004,8.46351881920986,8.30232537612851,8.00853099324256
"British_Columbia_Coast",1956,10.1670361886393,9.87960169815448,10.1380092938203,7.42094222747065,7.94223052334026,7.81640114075939
"British_Columbia_Coast",1957,10.6548244851519,10.4109303368956,10.733285621157,7.56474237559767,7.49284230153416,8.04430965108007
"British_Columbia_Coast",1958,11.3779961896799,11.0164103374159,10.8368604026929,9.1472443501719,8.35599336288479,8.46547125730035
"British_Columbia_Coast",1959,10.4777605332468,10.9278783614634,10.7546439888373,8.68442704613148,8.91583569815169,8.84996050016087
"British_Columbia_Coast",1960,10.4081752435851,10.4429678884159,10.484357813601,8.71821010417923,8.70131857515535,8.69663017466275
"British_Columbia_Coast",1961,10.567137663971,10.4876564537781,10.534150886408,8.68725337367755,8.70273173892839,8.57765554294597
"British_Columbia_Coast",1962,10.6271397516678,10.5971387078194,10.7488738075059,8.32750315098114,8.50737826232934,8.74173763065554
"British_Columbia_Coast",1963,11.0523440068789,10.8397418792734,10.541860333984,9.21045636730795,8.76897975914454,8.66132574253695
"British_Columbia_Coast",1964,9.94609724340533,10.4992206251421,10.2382126329716,8.44601770932176,8.82823703831485,8.40835446192115
"British_Columbia_Coast",1965,9.7161966486307,9.83114694601802,9.86304073505261,7.56858930913374,8.00730350922775,8.03791326861088
"British_Columbia_Coast",1966,9.92682831312178,9.82151248087624,9.98453766530383,8.09913278737713,7.83386104825544,7.81699502587507
"British_Columbia_Coast",1967,10.310588034159,10.1187081736404,10.0405878614898,7.78326298111434,7.94119788424574,7.92395360770357
"British_Columbia_Coast",1968,9.88434723718856,10.0974676356738,9.91682535432339,7.88946505461923,7.83636401786679,7.56842353735363
"British_Columbia_Coast",1969,9.55554079162262,9.71994401440559,9.74084557688705,7.03254257632731,7.46100381547327,7.74414834898334
"British_Columbia_Coast",1970,9.78264870184997,9.6690947467363,9.51836561951219,8.31043741600348,7.6714899961654,7.58104649936069
"British_Columbia_Coast",1971,9.21690736506399,9.49977803345698,9.48633207736662,7.40015950575127,7.85529846087737,7.52811534647278
"British_Columbia_Coast",1972,9.4594401651859,9.33817376512494,9.40799397048062,6.87374911766358,7.13695431170742,7.2610647974341
"British_Columbia_Coast",1973,9.54763438119198,9.50353727318894,9.59910703484869,7.50928576888747,7.19151744327552,7.1910407344381
"British_Columbia_Coast",1974,9.79024655816821,9.66894046968009,9.54029527692986,7.19008731676325,7.34968654282536,7.51863254801299
"British_Columbia_Coast",1975,9.2830048914294,9.5366257247988,9.5560760403357,7.85652455838824,7.52330593757574,7.41008682947537
"British_Columbia_Coast",1976,9.59497667140949,9.43899078141945,9.67134675711606,7.18364861327461,7.52008658583142,7.91509283785984
"British_Columbia_Coast",1977,10.1360587085093,9.86551768995939,10.0229633096968,8.70510534191666,7.94437697759563,7.99042119822511
"British_Columbia_Coast",1978,10.3378545491715,10.2369566288404,10.2741607619106,8.08250963948405,8.39380749070036,8.14022996326826
"British_Columbia_Coast",1979,10.3485690280511,10.3432117886113,10.2610938205409,7.63307490840408,7.85779227394407,8.04120028300738
"British_Columbia_Coast",1980,10.0968578843999,10.2227134562255,10.2682888593529,8.40801630113402,8.02054560476905,8.21933847525286
"British_Columbia_Coast",1981,10.3594396656076,10.2281487750038,10.0856001020408,8.61692421622048,8.51247025867725,8.33034826450108
"British_Columbia_Coast",1982,9.80050275611495,10.0799712108613,10.3127054755726,7.96610427614876,8.29151424618462,8.34680225009358
"British_Columbia_Coast",1983,10.7781740049952,10.2893383805551,10.2027507292037,8.45737825791149,8.21174126703013,8.32417567058127
"British_Columbia_Coast",1984,10.029575426501,10.4038747157481,10.1499454776966,8.54904447768357,8.50321136779753,8.30597681325727
"British_Columbia_Coast",1985,9.64208700159367,9.83583121404732,9.99456436452335,7.91150770417675,8.23027609093016,8.06065349434646
"British_Columbia_Coast",1986,10.3120306654754,9.97705883353454,10.1005996780057,7.72140830117907,7.81645800267791,8.17391900029331
"British_Columbia_Coast",1987,10.3476813669479,10.3298560162117,10.2224309351113,8.88884099552411,8.30512464835159,8.40175847511752
"British_Columbia_Coast",1988,10.0075807729107,10.1776310699293,10.2313891974746,8.59502612864938,8.74193356208675,8.39473427891528
