"stock_id","brood_yr","stock","jurisdiction","region","ocean_region","sub_region","lat","lon","recruits","spawners","R_ocean_1","R_ocean_2","R_ocean_3","R_ocean_4","R_ocean_5","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2","R4.3","R2.5"
102,1973,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,1352082,153870,4658,1343473,3951,0,0,0,0,0,0,0,4591,1342456,3951,0,0,67,1017,0,0,0,0,0,0,0,0,0,0
102,1974,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,145244,21603,1242,141784,2218,0,0,0,0,0,0,0,1242,141307,2218,0,0,0,477,0,0,0,0,0,0,0,0,0,0
102,1975,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,223085,26248,150,220083,2852,0,0,0,0,0,0,0,150,220007,2852,0,0,0,76,0,0,0,0,0,0,0,0,0,0
102,1976,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,31877,6792,43,28800,3034,0,0,0,0,0,0,0,43,28800,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1977,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,761694,53381,572,752467,8655,0,0,0,0,0,0,0,572,752467,8655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1978,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,72852,20005,202,71470,1180,0,0,0,0,0,0,0,202,71470,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1979,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,107936,36172,34,90013,17889,0,0,0,0,0,0,0,34,89807,17889,0,0,0,206,0,0,0,0,0,0,0,0,0,0
102,1980,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,63501,7361,10,37950,25541,0,0,0,0,0,0,0,10,37950,25541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1981,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,350141,67227,46,331290,18805,0,0,0,0,0,0,0,46,331290,18805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1982,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,27816,2158,13,26796,1007,0,0,0,0,0,0,0,13,26796,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1983,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,188896,13121,427,177520,10949,0,0,0,0,0,0,0,423,176760,10949,0,0,4,760,0,0,0,0,0,0,0,0,0,0
